Id,Date,AverageTemperature_celsius,LowestTemperature_celsius,HighestTemperature_celsius,AverageHumidity_percentage,AverageLocalPressure_hPa,AverageVaporPressure_hPa,AverageWindSpeed_ms,TotalPrecipitationAmount_mm,DeepestSnow_cm,DayLength_hour,AverageCloudCover_tithe,WeatherOverview_6_18,WeatherOverview_18_6
1,1959/1/1,2.8,1,5.5,,,,,0.2,,,,,
2,1959/1/2,2.5,-0.2,7,,,,,0.3,,,,,
3,1959/1/3,6.5,-0.4,11.6,,,,,2.8,,,,,
4,1959/1/4,4.2,4.9,7.6,,,,,19.3,,,,,
5,1959/1/5,-0.7,-1.7,0,,,,,35.7,,,,,
6,1959/1/6,-0.9,-1.7,0.6,,,,,26.5,,,,,
7,1959/1/7,-0.7,-2.1,0.6,,,,,25.8,,,,,
8,1959/1/8,-0.4,-1.2,3.6,,,,,0,,,,,
9,1959/1/9,0.2,-5.4,5.6,,,,,30.4,,,,,
10,1959/1/10,1.2,-2.2,2.7,,,,,46.3,,,,,
11,1959/1/11,0.2,-1.2,2.4,,,,,16,,,,,
12,1959/1/12,1.1,-0.9,3,,,,,11.4,,,,,
13,1959/1/13,2.1,-0.1,5.7,,,,,22.4,,,,,
14,1959/1/14,1.4,0.6,3.9,,,,,0.5,,,,,
15,1959/1/15,3.2,-0.9,7.9,,,,,6.8,,,,,
16,1959/1/16,1.4,1,6.6,,,,,35.6,,,,,
17,1959/1/17,-2.5,-3.8,-1.1,,,,,49.6,,,,,
18,1959/1/18,-1.8,-3.5,-0.4,,,,,33.5,,,,,
19,1959/1/19,-0.2,-3.1,2,,,,,6.6,,,,,
20,1959/1/20,0.2,-3.1,4.9,,,,,3,,,,,
21,1959/1/21,1.2,-3.5,2.7,,,,,5.8,,,,,
22,1959/1/22,1.3,-0.8,7.2,,,,,2,,,,,
23,1959/1/23,1.8,-2.3,6.4,,,,,0,,,,,
24,1959/1/24,1.8,-4.3,9.7,,,,,0.1,,,,,
25,1959/1/25,5.4,-0.4,12.2,,,,,0.4,,,,,
26,1959/1/26,3.6,2.4,5.3,,,,,10.2,,,,,
27,1959/1/27,4.6,1.9,10.5,,,,,4.3,,,,,
28,1959/1/28,2.4,-0.8,7.2,,,,,0.3,,,,,
29,1959/1/29,2.6,-3,5.8,,,,,33.3,,,,,
30,1959/1/30,3.4,1.1,7.3,,,,,11.3,,,,,
31,1959/1/31,1.1,0.4,3.1,,,,,1.9,,,,,
32,1959/2/1,2.3,-1.4,8.2,,,,,2.3,,,,,
33,1959/2/2,5,0.7,7.6,,,,,12.1,,,,,
34,1959/2/3,4.7,2.7,11,,,,,0.4,,,,,
35,1959/2/4,3.9,-0.5,11.5,,,,,0,,,,,
36,1959/2/5,4.5,-1.9,14.7,,,,,0,,,,,
37,1959/2/6,7.5,0.8,14,,,,,2.5,,,,,
38,1959/2/7,4,4.1,6.2,,,,,0,,,,,
39,1959/2/8,4.6,-2.7,11.6,,,,,0.8,,,,,
40,1959/2/9,6.1,0.8,8.9,,,,,38.7,,,,,
41,1959/2/10,2.8,2.4,5.5,,,,,12.9,,,,,
42,1959/2/11,-0.6,-2.4,2.6,,,,,8.4,,,,,
43,1959/2/12,2.4,-2,9.4,,,,,0,,,,,
44,1959/2/13,5.3,-1.9,10.6,,,,,17.9,,,,,
45,1959/2/14,9.7,3.4,11.4,,,,,32,,,,,
46,1959/2/15,8.2,7,10.1,,,,,12.3,,,,,
47,1959/2/16,8.8,6.5,12.1,,,,,21.7,,,,,
48,1959/2/17,8.5,7.1,10.2,,,,,6.9,,,,,
49,1959/2/18,6,5.6,9.4,,,,,0,,,,,
50,1959/2/19,4.9,-0.4,8.3,,,,,14.1,,,,,
51,1959/2/20,8.9,2.3,12.3,,,,,0.5,,,,,
52,1959/2/21,7.5,6.6,9.4,,,,,0,,,,,
53,1959/2/22,6.5,3,11.2,,,,,0.1,,,,,
54,1959/2/23,4.5,2.6,8.1,,,,,0.1,,,,,
55,1959/2/24,4.2,2.7,7.6,,,,,0,,,,,
56,1959/2/25,3.6,-0.5,7.6,,,,,0,,,,,
57,1959/2/26,3.4,-1,8.8,,,,,0,,,,,
58,1959/2/27,3.5,1.6,7.6,,,,,0,,,,,
59,1959/2/28,3.6,-2.7,10.8,,,,,2.6,,,,,
60,1959/3/1,5.3,1.3,6.8,,,,,20.5,,,,,
61,1959/3/2,6.7,4.6,10.3,,,,,3,,,,,
62,1959/3/3,3.7,1.6,7.7,,,,,0.1,,,,,
63,1959/3/4,6,-2.5,17,,,,,0,,,,,
64,1959/3/5,9,-0.2,19.6,,,,,1,,,,,
65,1959/3/6,11.1,6.6,14.3,,,,,18.6,,,,,
66,1959/3/7,11.7,8.7,13.2,,,,,19.8,,,,,
67,1959/3/8,9.6,10.1,10.7,,,,,18.4,,,,,
68,1959/3/9,7.3,6.6,11,,,,,0,,,,,
69,1959/3/10,7.5,2.2,12.1,,,,,8.7,,,,,
70,1959/3/11,7.1,5.5,9.6,,,,,17.3,,,,,
71,1959/3/12,3.8,3.1,5.9,,,,,19.3,,,,,
72,1959/3/13,1.8,0.1,4.5,,,,,4.8,,,,,
73,1959/3/14,4.5,0.5,8,,,,,0.5,,,,,
74,1959/3/15,4.9,1.6,9.5,,,,,0,,,,,
75,1959/3/16,5.7,-0.2,10.1,,,,,0,,,,,
